date,type,amount
2021-12-08,CashOnHand,209362.79
2021-12-09,CashOnHand,209344.62
2021-12-09,CashOnHand,209082.96
2021-12-10,CashOnHand,209061.95
2021-12-15,CashOnHand,205177.61
2021-12-15,CashOnHand,201488.53
2021-12-15,CashOnHand,201470.17
2021-12-17,CashOnHand,198927.5
2021-12-17,CashOnHand,196384.51
2021-12-22,CashOnHand,196320.25
2021-12-28,CashOnHand,196311.22
2021-12-29,CashOnHand,195900.67
2021-12-31,CashOnHand,195827.81
2021-12-31,CashOnHand,195840.63
2022-01-01,CashOnHand,195190.63
2022-01-03,CashOnHand,195146.63
2022-01-03,CashOnHand,195100.63
2022-01-03,CashOnHand,195059.12
2022-01-03,CashOnHand,194998.5
2022-01-03,CashOnHand,194977.7
2022-01-03,CashOnHand,194977.7
2022-01-03,CashOnHand,194963.42
2022-01-05,CashOnHand,194904.04
2022-01-10,CashOnHand,196104.04
2022-01-10,CashOnHand,196081.54
2022-01-10,CashOnHand,196063.47
2022-01-12,CashOnHand,196039.49
2022-01-15,CashOnHand,193997.03
2022-01-19,CashOnHand,193889.93
2022-01-20,CashOnHand,193871.92
2022-01-21,CashOnHand,193807.66
2022-01-26,CashOnHand,193794.55
2022-01-26,CashOnHand,193781.37
2022-01-26,CashOnHand,192308.44
2022-01-26,CashOnHand,190430.15
2022-01-26,CashOnHand,190162.06
2022-01-26,CashOnHand,186193.91
2022-01-27,CashOnHand,186180.15
2022-01-27,CashOnHand,185818.15
2022-01-27,CashOnHand,185772.9
2022-01-28,CashOnHand,185763.85
2022-01-28,CashOnHand,185748.91
2022-01-31,CashOnHand,185656.19
2022-02-01,CashOnHand,185006.19
2022-02-01,CashOnHand,184976.19
2022-02-01,CashOnHand,184932.19
2022-02-01,CashOnHand,184912.19
2022-02-02,CashOnHand,184870.33
2022-02-03,CashOnHand,184851.22
2022-02-03,CashOnHand,184830.42
2022-02-03,CashOnHand,185077.57
2022-02-03,CashOnHand,185077.57
2022-02-03,CashOnHand,185063.29
2022-02-03,CashOnHand,185025.18
2022-02-04,CashOnHand,184965.8
2022-02-08,CashOnHand,184815.8
2022-02-09,CashOnHand,184797.93
2022-02-10,CashOnHand,184765.62
2022-02-11,CashOnHand,184407.74
2022-02-11,CashOnHand,184161.57
2022-02-15,CashOnHand,181851.02
2022-02-22,CashOnHand,181786.76
2022-02-22,CashOnHand,181936.76
2022-02-23,CashOnHand,181917.76
2022-02-23,CashOnHand,179449
2022-02-23,CashOnHand,176920.71
2022-02-23,CashOnHand,175719.89
2022-02-28,CashOnHand,171751.74
2022-02-28,CashOnHand,171742.56
2022-03-01,CashOnHand,171092.56
2022-03-01,CashOnHand,171048.56
2022-03-01,CashOnHand,171018.56
2022-03-01,CashOnHand,170998.56
2022-03-01,CashOnHand,170998.56
2022-03-01,CashOnHand,170984.28
2022-03-02,CashOnHand,120984.28
2022-03-02,CashOnHand,120942.06
2022-03-02,CashOnHand,120574.97
2022-03-02,CashOnHand,116008.7
2022-03-02,CashOnHand,115989.43
2022-03-03,CashOnHand,115968.63
2022-03-03,CashOnHand,115750.75
2022-03-03,CashOnHand,165750.75
2022-03-04,CashOnHand,228398.98
2022-03-07,CashOnHand,244148.98
2022-03-09,CashOnHand,244089.6
2022-03-09,CashOnHand,244082.85
2022-03-10,CashOnHand,244053.62
2022-03-14,CashOnHand,244044.94
2022-03-15,CashOnHand,244026.58
2022-03-15,CashOnHand,238344.33
2022-03-16,CashOnHand,238073.57
2022-03-17,CashOnHand,237922.11
2022-03-17,CashOnHand,237467.74
2022-03-17,CashOnHand,237265.8
